park_id,park_name,feature_source,feature_name,feature_category,series_id,latitude,longitude
95,Railway Viewing Platform,artwork,Railway Viewing Platform,art,3,-37.8088169283775,144.943688304136
44,Gordon Reserve,artwork,Adam Lindsay Gordan Memorial,art,3,-37.8123635338167,144.97374504876
8,Birrarung Marr,artwork,Angel,art,3,-37.8189542313538,144.972959186532
122,The Kings Domain Reserve,landmark,Kings Domain,nature,1,-37.8255239795833,144.974107925144
136,Yarra Park,landmark,National Sports Museum,art,3,-37.8189544909462,144.984669809381
37,Flagstaff Gardens,landmark,Flagstaff Gardens,nature,1,-37.8111222889277,144.954696055235
134,Westgate Park,landmark,Westgate Park,nature,1,-37.8314918578874,144.908824792698
36,Fitzroy Gardens,landmark,Fitzroy Gardens,nature,1,-37.8129616331579,144.980455714669
116,State Library Forecourt,landmark,State Library Victoria,urban,2,-37.8099852201226,144.964330322397
3,Argyle Square,landmark,Argyle Square,nature,1,-37.8031480577285,144.965761295089
99,Royal Botanic Gardens - Melbourne,landmark,Royal Botanic Gardens,nature,1,-37.8306631583233,144.980850432751
26,Darling Square,landmark,Darling Square,nature,1,-37.81299206932,144.989062559512
83,Parliament Gardens,landmark,Parliament Reserve,nature,1,-37.809852620638,144.973462202839
36,Fitzroy Gardens,landmark,Conservatory,urban,2,-37.814002127195,144.9785597431
70,Macarthur Square,landmark,Macarthur Square,nature,1,-37.7983318676737,144.971514146104
36,Fitzroy Gardens,landmark,Cooks' Cottage,art,3,-37.8144604899837,144.979471339826
109,Shrine of Remembrance Reserve,landmark,Shrine of Rembrance Reserve,nature,1,-37.8320733992876,144.973628364465
124,Treasury Gardens,landmark,Treasury Gardens,nature,1,-37.8143993575938,144.975952335785
93,Queen Victoria Gardens & Memorial Statue,landmark,Queen Victoria Gardens,nature,1,-37.8216381244891,144.971049530478
8,Birrarung Marr,landmark,Birrarung Marr,nature,1,-37.81806108403,144.97314667014
125,University Square,landmark,University Square,nature,1,-37.800410711209,144.960398319302
27,Docklands Park,landmark,Docklands Park,nature,1,-37.8209956785618,144.946781702342
88,Point Park,landmark,Point Park,nature,1,-37.8233522700646,144.942102276731
1,Alexandra Gardens,landmark,Alexandra Gardens,nature,1,-37.8206051404251,144.971796067365
109,Shrine of Remembrance Reserve,landmark,Shrine of Remembrance,urban,2,-37.8302080020387,144.973441913623
3,Argyle Square,landmark,Piazza Italia,nature,1,-37.8025164192523,144.965863092947
76,Murchison Square,landmark,Murchinson Square,nature,1,-37.8002735025371,144.973059252203
89,Powlett Reserve,landmark,Powlett Reserve,nature,1,-37.8116929882498,144.987275671763
36,Fitzroy Gardens,landmark,Sinclair's Cottage,art,3,-37.8145407488014,144.980554992725
67,Lincoln Square,landmark,Lincoln Square,nature,1,-37.8027919689732,144.962760852233
14,Carlton Gardens North,landmark,Carlton Gardens North,nature,1,-37.8017690847403,144.971997551189
35,Fawkner Park,landmark,Fawkner Park,nature,1,-37.8413996708186,144.981625667877
31,Enterprize Park,landmark,Enterprize Park,nature,1,-37.820210269629,144.959276859602
15,Carlton Gardens South,landmark,Carlton Gardens South,nature,1,-37.8060684577258,144.971266479841
5,Batman Park,landmark,Batman Park,nature,1,-37.8218460949601,144.956665812218
1,Alexandra Gardens,landmark,Riverslide Skate Park,nature,1,-37.8207887122448,144.972951789291
101,Royal Park,landmark,Royal Park,nature,1,-37.7906174256581,144.953834240647
136,Yarra Park,landmark,Yarra Park,nature,1,-37.820469374101,144.986671109615
