park_id,park_name,ha,latitude,longitude,st_point,description
1,Alexandra Gardens,5.7493,-37.82140175342995,144.97338326664902,POINT(144.97338326664902 -37.82140175342995),"Alexandra Gardens is a public park in Melbourne, Melbourne."
2,Alexandra Park,4.8690999999999995,-37.824079314048966,144.9774328963564,POINT(144.9774328963564 -37.824079314048966),"Alexandra Park is a public park in Melbourne, Melbourne."
3,Argyle Square,1.3297,-37.802740458199075,144.96583511130225,POINT(144.96583511130225 -37.802740458199075),"Argyle Square is a public park in Melbourne, Melbourne."
4,Auckland Lane Reserve,0.0323,-37.77798700546881,144.9389399141761,POINT(144.9389399141761 -37.77798700546881),"Auckland Lane Reserve is a public park in Melbourne, Melbourne."
5,Batman Park,1.4328,-37.82178529606905,144.9566130685186,POINT(144.9566130685186 -37.82178529606905),"Batman Park is a public park in Melbourne, Melbourne."
6,Bayswater Road Park,0.2711,-37.79374099588292,144.9237698641406,POINT(144.9237698641406 -37.79374099588292),"Bayswater Road Park is a public park in Melbourne, Melbourne."
7,Bedford Street Reserve,0.0997,-37.80281461224497,144.9555073658568,POINT(144.9555073658568 -37.80281461224497),"Bedford Street Reserve is a public park in Melbourne, Melbourne."
8,Birrarung Marr,8.1119,-37.81890622464687,144.9738236456279,POINT(144.9738236456279 -37.81890622464687),"Birrarung Marr is a public park in Melbourne, Melbourne."
9,Buluk Park,0.3797,-37.82039079299272,144.94071832919875,POINT(144.94071832919875 -37.82039079299272),"Buluk Park is a public park in Melbourne, Melbourne."
10,Burston Reserve,0.1894,-37.81142044443343,144.97522970425274,POINT(144.97522970425274 -37.81142044443343),"Burston Reserve is a public park in Melbourne, Melbourne."
11,Canning & Neill Street Reserve,0.1897,-37.79314944767447,144.97410414772014,POINT(144.97410414772014 -37.79314944767447),"Canning & Neill Street Reserve is a public park in Melbourne, Melbourne."
12,Canning & Palmerston Street Reserve,0.0405,-37.79631051100726,144.9728447048824,POINT(144.9728447048824 -37.79631051100726),"Canning & Palmerston Street Reserve is a public park in Melbourne, Melbourne."
13,Canning Street & Macaulay Road Reserve,0.1764,-37.795794425064315,144.93976667764875,POINT(144.93976667764875 -37.795794425064315),"Canning Street & Macaulay Road Reserve is a public park in Melbourne, Melbourne."
14,Carlton Gardens North,7.1167,-37.80196385653347,144.97195227866774,POINT(144.97195227866774 -37.80196385653347),"Carlton Gardens North is a public park in Melbourne, Melbourne."
15,Carlton Gardens South,8.8109,-37.80629946165889,144.97123206483835,POINT(144.97123206483835 -37.80629946165889),"Carlton Gardens South is a public park in Melbourne, Melbourne."
16,Carrangall Place Reserve,0.0405,-37.7798323440471,144.94124178055557,POINT(144.94124178055557 -37.7798323440471),"Carrangall Place Reserve is a public park in Melbourne, Melbourne."
17,Chapman Street Reserve,0.1437,-37.798205012027765,144.95058555916913,POINT(144.95058555916913 -37.798205012027765),"Chapman Street Reserve is a public park in Melbourne, Melbourne."
18,Childrens Garden Area,0.4407,-37.8303954534704,144.97646065429277,POINT(144.97646065429277 -37.8303954534704),"Childrens Garden Area is a public park in Melbourne, Melbourne."
19,City Road Park,0.0275,-37.825413565250585,144.96037071212012,POINT(144.96037071212012 -37.825413565250585),"City Road Park is a public park in Melbourne, Melbourne."
20,City Square,0.3003,-37.815934544174816,144.96710537124827,POINT(144.96710537124827 -37.815934544174816),"City Square is a public park in Melbourne, Melbourne."
21,Clayton Reserve,0.6514,-37.79636038764831,144.9391173758192,POINT(144.9391173758192 -37.79636038764831),"Clayton Reserve is a public park in Melbourne, Melbourne."
22,Cook Street Reserve,0.0476,-37.82219999184765,144.96444126239587,POINT(144.96444126239587 -37.82219999184765),"Cook Street Reserve is a public park in Melbourne, Melbourne."
23,Courtney Street Reserve,0.0456,-37.803529002556566,144.95587275751444,POINT(144.95587275751444 -37.803529002556566),"Courtney Street Reserve is a public park in Melbourne, Melbourne."
24,Curzon Street Reserve,0.0252,-37.798603941375426,144.94918789092188,POINT(144.94918789092188 -37.798603941375426),"Curzon Street Reserve is a public park in Melbourne, Melbourne."
25,Customs Square,0.1258,-37.81982116296166,144.96073989376808,POINT(144.96073989376808 -37.81982116296166),"Customs Square is a public park in Melbourne, Melbourne."
26,Darling Square,0.8191,-37.8128257285346,144.98909104709094,POINT(144.98909104709094 -37.8128257285346),"Darling Square is a public park in Melbourne, Melbourne."
27,Docklands Park,2.2288,-37.82080097716886,144.9467115304261,POINT(144.9467115304261 -37.82080097716886),"Docklands Park is a public park in Melbourne, Melbourne."
